City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,Sao Geraldo Do Araguaia,BR,85.42,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
497,Kudahuvadhoo,MV,84.09,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
498,Karratha,AU,85.89,broken clouds,-20.7377,116.8463,ibis Styles Karratha
501,Port Lavaca,US,75.52,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
503,The Valley,AI,82.09,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
505,Sibolga,ID,75.29,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
508,Srandakan,ID,76.3,overcast clouds,-7.9386,110.2506,Puri Brata
510,Mayumba,GA,79.32,overcast clouds,-3.432,10.6554,LIKWALE LODGE
514,San Policarpo,PH,77.5,overcast clouds,12.1791,125.5072,Agapita M. Nicart
519,Manzanillo,CU,88.72,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
528,Bosaso,SO,80.47,broken clouds,11.2842,49.1816,Red Sea Hotel
532,Patrocinio,BR,79.59,scattered clouds,-18.9439,-46.9925,Guines Palace Hotel 34-99816-3311
536,Havelock,US,79.02,scattered clouds,34.8791,-76.9013,Sherwood Motel
539,Umm Lajj,SA,79.74,scattered clouds,25.0213,37.2685,Moon light Furnished Units
543,Ewa Beach,US,75.15,clear sky,21.3156,-158.0072,Base Lodging
549,Hobyo,SO,83.66,clear sky,5.3505,48.5268,Iftin hotel hobyo
552,San Jose,US,81.86,scattered clouds,37.3394,-121.895,The Westin San Jose
554,Mogadishu,SO,81.93,scattered clouds,2.0371,45.3438,Hotel Juba
555,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
558,Chandler,US,84.74,clear sky,33.3062,-111.8412,"Crowne Plaza Hotels & Resorts Phoenix - Chandler Golf Resort, an IHG Hotel"
560,Kavaratti,IN,84.0,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
562,San Lorenzo,PY,79.74,broken clouds,-25.3333,-57.5333,Canarias Hotel
563,Kattivakkam,IN,86.09,broken clouds,13.2167,80.3167,Euronova Freezer
569,Touros,BR,86.72,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
576,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
580,Koumac,NC,78.89,overcast clouds,-20.5667,164.2833,Le Monitel
582,Puri,IN,79.32,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
584,Angoche,MZ,77.81,light rain,-16.2325,39.9086,Guest House HESADA
585,Acarau,BR,83.79,broken clouds,-2.8856,-40.12,castelo pizzaria
587,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
590,Iracoubo,GF,79.16,moderate rain,5.4802,-53.2011,Le Gîte d’Iracoubo
593,Waw,SS,85.89,broken clouds,7.7029,27.9953,Universal Gab Hotel
594,Labuan,MY,81.1,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
600,Urucara,BR,85.1,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
602,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
