City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
218,Kismayo,SO,81.1,few clouds,-0.3582,42.5454,Agan-Hotel
221,Nahan,IN,87.96,clear sky,30.55,77.3,Hotel Heritage Sanyam & Restaurant Ekant
224,Jalu,LY,84.49,clear sky,29.0331,21.5482,صاحبة الفخامة
229,Sinnamary,GF,76.68,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
230,Diamantino,BR,75.24,scattered clouds,-14.4086,-56.4461,Hotel Delta
237,Acarau,BR,77.11,overcast clouds,-2.8856,-40.12,castelo pizzaria
238,Iracoubo,GF,76.73,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
242,Tiarei,PF,86.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
243,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
245,Shenzhen,CN,79.14,few clouds,22.5455,114.0683,Grand Skylight
254,Maumere,ID,86.67,broken clouds,-8.6199,122.2111,Sylvia Hotel
257,Omboue,GA,76.6,overcast clouds,-1.5746,9.2618,Hotel Olako
262,Pointe Michel,DM,77.38,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
264,Matara,LK,84.27,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
266,Savannah Bight,HN,81.43,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
278,Ambilobe,MG,75.56,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
279,Bunbury,AU,77.81,broken clouds,-33.3333,115.6333,Bunbury Hotel Koombana Bay
280,Basco,PH,75.61,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
285,Bintulu,MY,83.39,overcast clouds,3.1667,113.0333,900 Boutique INN
293,Belmonte,BR,75.97,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
297,Gashua,NG,81.64,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
300,Mucuri,BR,77.27,scattered clouds,-18.0864,-39.5508,La Bodeguita Pousada
301,Yeppoon,AU,85.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
303,Yulara,AU,84.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
