City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
112,Ponta Do Sol,PT,32.6667,-17.1,60.01,74,46,2.46,scattered clouds
113,Northam,GB,51.0333,-4.2167,46.62,78,100,25.19,overcast clouds
114,Santa Cruz De La Palma,ES,28.6835,-17.7642,62.74,59,100,10.36,overcast clouds
115,Constitucion,CL,-35.3333,-72.4167,55.8,74,18,9.08,few clouds
116,Flin Flon,CA,54.7682,-101.865,29.34,91,100,7.7,overcast clouds
117,Nemuro,JP,43.3236,145.575,36.5,70,59,11.74,broken clouds
118,Nisia Floresta,BR,-6.0911,-35.2086,76.01,93,14,5.26,light rain
119,Victoria,HK,22.2855,114.1577,78.04,62,27,8.01,scattered clouds
120,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,64,12.26,broken clouds
121,Nanortalik,GL,60.1432,-45.2371,28.69,91,86,6.49,overcast clouds
122,Saquarema,BR,-22.92,-42.5103,73.15,89,35,5.91,scattered clouds
123,Poronaysk,RU,49.2167,143.1167,35.96,42,78,14.61,broken clouds
124,Krasnofarfornyy,RU,59.1364,31.8502,29.48,84,100,7.67,overcast clouds
125,Rawson,AR,-43.3002,-65.1023,56.19,77,94,15.61,overcast clouds
126,Ituiutaba,BR,-18.9689,-49.465,75.65,75,94,5.03,overcast clouds
127,Georgetown,MY,5.4112,100.3354,85.95,78,20,8.05,few clouds
128,Tiksi,RU,71.6872,128.8694,-3.08,96,100,8.08,overcast clouds
129,Chokurdakh,RU,70.6333,147.9167,1.2,82,1,5.5,clear sky
130,Sarakhs,IR,36.5449,61.1577,72.05,36,80,2.82,broken clouds
131,Venado Tuerto,AR,-33.7456,-61.9688,66.76,75,4,6.11,clear sky
132,Kruisfontein,ZA,-34.0033,24.7314,55.89,77,63,16.44,light rain
133,Coxim,BR,-18.5067,-54.76,76.12,65,3,2.24,clear sky
134,Conde,BR,-7.2597,-34.9075,74.66,94,75,4.61,broken clouds
135,Punta Alta,AR,-38.8759,-62.0736,61.52,78,47,10.11,scattered clouds
136,Muros,ES,42.7762,-9.0603,57.09,80,97,16.87,overcast clouds
137,Luau,AO,-10.7073,22.2247,62.82,98,98,0.29,light rain
138,Praia,CV,14.9215,-23.5087,68.54,77,20,18.41,few clouds
139,Eirunepe,BR,-6.6603,-69.8736,73.29,99,92,1.77,overcast clouds
140,Requena,ES,39.4883,-1.1004,39.94,88,1,8.72,clear sky
141,Butaritari,KI,3.0707,172.7902,81.63,77,63,17.4,light rain
142,Pimentel,PE,-6.8367,-79.9342,69.39,83,99,14.36,overcast clouds
143,Ryazanovskiy,RU,55.55,39.4333,30.9,82,98,8.43,overcast clouds
144,Teya,RU,60.3778,92.6267,32.68,83,98,12.46,light snow
145,Port Elizabeth,ZA,-33.918,25.5701,58.1,76,75,16.11,light rain
146,Quechultenango,MX,17.4167,-99.2167,68.99,71,65,1.99,broken clouds
147,Colares,PT,38.7992,-9.4469,57.76,62,96,13.0,overcast clouds
148,Krasnozerskoye,RU,53.9828,79.2374,38.75,63,13,7.52,few clouds
149,Carnarvon,AU,-24.8667,113.6333,86.07,66,27,16.11,scattered clouds
150,Lebu,CL,-37.6167,-73.65,55.38,93,100,3.2,overcast clouds
151,Husavik,IS,66.0449,-17.3389,24.22,82,100,6.96,light snow
152,Clyde River,CA,70.4692,-68.5914,-4.65,83,16,3.31,few clouds
153,Mount Gambier,AU,-37.8333,140.7667,71.55,49,25,11.72,scattered clouds
154,Alizai,PK,33.5383,70.3462,81.95,11,0,1.03,clear sky
155,Burnie,AU,-41.0667,145.9167,61.97,55,0,5.55,clear sky
156,Kapiri Mposhi,ZM,-13.9652,28.6809,62.83,98,100,3.94,overcast clouds
157,Bluff,NZ,-46.6,168.3333,53.96,60,72,15.82,broken clouds
158,Lasa,IT,46.6166,10.7002,41.68,96,71,4.59,broken clouds
159,Atuona,PF,-9.8,-139.0333,79.29,75,15,17.02,few clouds
160,Kendari,ID,-3.945,122.4989,88.9,54,100,5.5,overcast clouds
161,Cururupu,BR,-1.8283,-44.8683,73.89,98,92,2.01,light rain
162,Pevek,RU,69.7008,170.3133,-4.05,90,100,8.21,overcast clouds
163,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,95,100,28.16,overcast clouds
164,Srednekolymsk,RU,67.45,153.6833,11.23,80,13,9.93,few clouds
165,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.27,99,95,0.94,overcast clouds
166,Monopoli,IT,40.9559,17.2896,53.73,83,30,7.16,scattered clouds
167,San Onofre,CO,9.7359,-75.5263,78.93,85,76,4.45,broken clouds
168,Serra Branca,BR,-6.5333,-38.2667,74.55,73,100,5.86,overcast clouds
169,Ninghai,CN,29.2892,121.4247,69.58,56,51,3.58,broken clouds
170,Bosconia,CO,9.9689,-73.8836,80.06,78,94,0.58,overcast clouds
171,Dong Hoi,VN,17.4833,106.6,75.87,62,89,10.63,overcast clouds
172,Mindelo,CV,16.8901,-24.9804,67.55,73,40,20.71,scattered clouds
173,Sur,OM,22.5667,59.5289,88.43,36,0,4.68,clear sky
174,Kudahuvadhoo,MV,2.6708,72.8944,83.25,68,11,3.33,few clouds
175,Tynda,RU,55.1667,124.7167,25.65,52,54,9.24,broken clouds
176,Henties Bay,NA,-22.116,14.2845,59.83,88,51,7.96,broken clouds
177,Anori,BR,-3.7728,-61.6442,73.27,98,97,2.48,overcast clouds
178,La Ronge,CA,55.1001,-105.2842,29.7,86,98,4.05,overcast clouds
179,Methoni,GR,36.8197,21.7049,65.21,74,99,10.25,overcast clouds
180,Esmeraldas,BR,-19.7625,-44.3139,72.46,86,100,4.07,light rain
181,Port Keats,AU,-14.25,129.55,90.07,55,97,7.38,overcast clouds
182,Severo-Kurilsk,RU,50.6789,156.125,35.53,94,100,10.76,overcast clouds
183,Emba,KZ,48.8264,58.1442,43.66,68,100,6.53,overcast clouds
184,Deniliquin,AU,-35.5333,144.9667,67.66,55,76,13.94,broken clouds
185,Flinders,AU,-34.5833,150.8552,66.18,92,100,5.99,light rain
186,Codrington,AU,-38.2667,141.9667,68.27,62,35,21.25,scattered clouds
187,Teknaf,BD,20.8624,92.3058,87.48,54,9,9.48,clear sky
