City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
45,Castro,BR,-24.7911,-50.0119,73.24,72,99,2.86,overcast clouds
46,Suining,CN,30.508,105.5733,65.75,55,1,4.21,clear sky
47,Geraldton,AU,-28.7667,114.6,73.81,94,100,8.05,overcast clouds
48,Longyearbyen,SJ,78.2186,15.6401,12.04,62,20,13.8,few clouds
49,Tiksi,RU,71.6872,128.8694,-11.67,100,91,1.57,overcast clouds
50,Pangnirtung,CA,66.1451,-65.7125,8.6,78,75,0.0,light snow
51,Ginir,ET,7.1333,40.7,63.88,44,87,3.47,overcast clouds
52,Georgetown,MY,5.4112,100.3354,78.73,93,40,5.01,scattered clouds
53,Torbay,CA,47.6666,-52.7314,39.27,93,100,18.41,mist
54,Lerwick,GB,60.1545,-1.1494,42.8,57,9,18.28,clear sky
55,Clyde River,CA,70.4692,-68.5914,10.63,85,100,9.22,light snow
56,Meulaboh,ID,4.1363,96.1285,75.9,88,100,4.88,overcast clouds
57,Hirna,ET,9.2167,41.1,69.19,33,100,3.76,overcast clouds
58,Hithadhoo,MV,-0.6,73.0833,82.85,63,11,2.68,few clouds
59,Coquimbo,CL,-29.9533,-71.3436,60.53,77,0,10.36,clear sky
60,Novikovo,RU,51.1537,37.8879,50.85,67,58,7.7,broken clouds
61,Ribeira Grande,PT,38.5167,-28.7,64.8,88,20,19.57,few clouds
62,Tandil,AR,-37.3217,-59.1332,73.69,45,27,9.78,scattered clouds
63,East London,ZA,-33.0153,27.9116,61.74,72,0,16.11,clear sky
64,Barrow,US,71.2906,-156.7887,-2.18,71,0,4.61,clear sky
65,Mahanoro,MG,-19.9,48.8,77.13,88,4,2.15,light rain
66,Poum,NC,-20.2333,164.0167,81.28,83,100,21.94,overcast clouds
67,Twentynine Palms,US,34.1356,-116.0542,80.98,6,0,1.99,clear sky
68,Hilo,US,19.7297,-155.09,71.33,88,75,8.05,moderate rain
69,Dauriya,RU,49.9333,116.8667,49.89,51,100,21.9,overcast clouds
70,Vao,NC,-22.6667,167.4833,79.41,84,99,37.13,heavy intensity rain
71,Carnarvon,AU,-24.8667,113.6333,77.07,83,99,10.36,overcast clouds
72,Codrington,AU,-38.2667,141.9667,55.29,93,0,8.25,clear sky
73,Carlos Chagas,BR,-17.7031,-40.7664,85.69,60,57,6.24,broken clouds
74,Sao Filipe,CV,14.8961,-24.4956,72.95,75,2,13.15,clear sky
75,San Andres,CO,12.5847,-81.7006,86.02,66,40,12.66,scattered clouds
76,Bentiu,SS,9.2333,29.8333,90.66,36,49,8.25,scattered clouds
77,Ponta Do Sol,PT,32.6667,-17.1,66.13,73,59,1.95,broken clouds
78,Finote Selam,ET,10.7,37.2667,72.7,36,93,4.36,overcast clouds
79,Pacific Grove,US,36.6177,-121.9166,80.46,41,9,3.89,clear sky
80,Satipo,PE,-11.2522,-74.6386,88.95,50,100,3.36,overcast clouds
81,Colares,PT,38.7992,-9.4469,62.26,67,75,13.0,broken clouds
82,Baykit,RU,61.67,96.37,24.39,95,100,5.23,overcast clouds
83,Talnakh,RU,69.4865,88.3972,14.09,98,100,4.99,overcast clouds
84,Kodiak,US,57.79,-152.4072,35.17,75,100,4.7,overcast clouds
85,Bluff,NZ,-46.6,168.3333,55.47,79,81,27.22,broken clouds
86,Gamba,GA,-2.65,10.0,79.63,85,74,8.75,light rain
87,Kruisfontein,ZA,-34.0033,24.7314,56.88,67,30,10.74,scattered clouds
88,Eureka,US,40.8021,-124.1637,58.39,79,14,1.01,few clouds
89,Atuona,PF,-9.8,-139.0333,79.12,72,17,15.95,few clouds
90,Kaitangata,NZ,-46.2817,169.8464,48.58,70,63,13.13,broken clouds
91,Westport,US,41.1415,-73.3579,52.2,89,100,15.99,overcast clouds
